"How long to charge GENZ+?","GENZ+ charges in 3-4 hours for its 3.7kW lithium battery."
"What brake fluid should I use?","Use our EV-Plus Brake Fluids - specially formulated for EVs with superior corrosion protection and temperature stability."
"Who is SMG Electric Vehicles?","We are a leading EV solutions provider in India, specializing in electric scooters, fluids, and maintenance services. HQ: Hoshiarpur."
"Which transmission fluid is best for my EV?","Use SMG EV-Plus Transmission Fluid—synthetic, high thermal stability, and optimized for wet/dry e-motors."
"Does my EV need special coolant?","Yes! EV-Plus Coolants have low electrical conductivity, prevent corrosion, and optimize battery temperature."
"What's special about your thermal fluids?","EV-Plus Thermal Fluids are biodegradable, support ultra-fast charging, and are safe for battery immersion cooling."
"Which brake fluid should I use?","EV-Plus Brake Fluid ensures safe braking, corrosion protection, and works in extreme temperatures."
"Do you sell grease for EV motors?","Yes! EV-Plus Grease reduces noise, improves efficiency, and lasts longer in high-speed motors."
"What's included in free services?","Free services (1st-6th) include battery checks, cleaning, and inspections. Parts replacement is extra."
"When is the first service due?","1st service: 1,500–1,600 km or 2 months (whichever comes first)."
"What do technicians check?","We verify battery health, motor/brake function, tire pressure, electrical systems, and perform a test ride."
"How do service coupons work?","Present your coupon (1st-6th) for free checks. Each has fields for VIN, battery health, and next service date."
"Is there a service center in [City]?","We cover major cities like Bangalore, Pune, Hyderabad, Chennai, Kolkata, and more (20 engineers per location)."
"Do you service Uttarakhand?","Not yet. We currently don't operate in Manipur, Meghalaya, Mizoram, Nagaland, Sikkim, Tripura, or Uttarakhand."
"Which insurers cover your EVs?","Bajaj Allianz, Digit, Acko, Shriram, RevFin, United India, Square Insurance, and Magma."
"How to file an insurance claim?","Contact our partners directly via their websites (e.g., Bajaj Allianz)."
"Do you offer EV loans?","Yes! Financing partners: Chola Finance, Mufin, Orange Finance, Revfin, Shriram Finance, and SK Finance."
"What's the minimum down payment?","Varies by partner. Contact RevFin or Shriram Finance for low-EMI options."
"What's the GENZ's top speed?","100 km/h, with a 90 km range and 50 kg load capacity."
"Is GENZ+ battery removable?","No, GENZ+ has a fixed battery (3.7kW, 3-year life). Charges in 3–4 hours."
"What's special about GEN EV?","100 km range, 55 kg load, removable IP67 battery, and 24L boot space."
"How long does the battery last?","GENZ/GEN EV: 5 years. GENZ+: 3 years. All use 3.7kW lithium batteries."
"How to charge my scooter?","Use a Type 6 (IEC 62196-6) charger. Full charge takes 3–4 hours."
"What's the correct tire pressure?","34 PSI for GENZ/GENZ+ (90/90 or 90/100 tires). Check manual for other models."
"My battery drains fast. Help!","1. Check for software updates. 2. Avoid extreme temperatures. 3. Visit a service center for diagnostics."
"Brakes feel sluggish.","Use EV-Plus Brake Fluid and visit a service center for inspection."
"Motor is noisy.","Apply EV-Plus Grease for high-speed bearings. If noise persists, schedule a service."
"Where to buy accessories?","Contact our CRM team for genuine accessories (helmet, covers, chargers, etc.)."
"What's under warranty?","Battery: 3–5 years. Brakes: 2–3 years. See your purchase contract for details."
"Where can I buy your EVs?","We have dealers in all serviced states (e.g., Bangalore, Pune, Hyderabad). Call +91-XXXXXX for details."
"Any discounts right now?","Ask about free 1st service + 5% cashback on insurance through our partners."
"My EV won't start. What to do?","1. Check battery connection. 2. Ensure charger is working. 3. Call +91-XXXXXX for roadside assistance."
